Title;WarAndpeace;;;;;;;
ParentID;WarAndPeace_SeriesID;;;;;;;
ID;WarAndPeace_SeasonID;;;;;;;
Season;S01;;;;;;;
Sequence;1;;;;;;;
Episodes;S01E101;S01E102;S01E103;S01E104;S01E105;S01E106;S01E107;S01E108
Genres;av_genre_drama;av_subgenre_history;;;;;;
ReleaseYear;2015;;;;;;;
OriginalLanguage;en-US;;;;;;;
OrganizationID;Spyglass;;;;;;;
;;;;;;;;
LocalizedInfo;Language;TitleDisplay;Summary;;;;;
;en-US;War And Peace Season 1;It's 1962, America has lost WWII, the east is the Greater Nazi Reich and the west, the Japanese Pacific States. Amidst this oppression there is new hope - films that seem to show a different world. When her sister gives her a film and is then murdered, a woman comes to believe the films hold the key to freedom and becomes obsessed with finding their mysterious guardian, The Man in the High Castle.;;;;;
;de-DE ;Manhattan Staffel 1;1962. Deutschland und Japan haben den Krieg gewonnen und Amerika unter sich aufgeteilt. In den Japanischen Pazifikstaaten wird Juliana Crains Schwester Trudy auf der Straße erschossen, kurz nachdem sie ihr eine mysteriöse Filmrolle übergeben hat. Währenddessen schließt sich im Großdeutschen Reich an der Ostküste der junge Joe Blake dem Widerstand an.;;;;;
;;;;;;;;
AltIDs;Namespace;Identifier;;;;;;
;ORG;WarAndPeace_SeasonID;;;;;;
;IMDB;tt4518589;;;;;;
;;;;;;;;
Ratings;Country;System;Value;;;;;
;US;TVPG;TV-MA;;;;;
;DE;FSK;12;;;;;
;;;;;;;;
People;Job;BillingOrder;Names;;;;;
;Actor;1;en-US,Alexa Davalos;ja-JP,アレクサ･ダヴァロス;;;;
;Actor;2;en-US,Rupert Evans;ja-JP,ルパート･エヴァンス;;;;
;Writer;1;en-US,Ridley Scott;ja-JP,フランク･スポトニッツ;;;;
;;;;;;;;
CompanyCredits;Language;Credit;;;;;;
;en-US;Amazon Studios;;;;;;
